style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,weight
Art Deco,19.0,21.0,22.0,43.0,0.075435203
Asian-Inspired,18.0,85.0,56.0,46.0,0.069632495
Bohemian,100.0,75.0,11.0,23.0,0.098646035
Coastal,85.0,88.0,71.0,52.0,0.092843327
Contemporary,19.0,54.0,52.0,81.0,0.116054159
Cottage,77.0,96.0,31.0,4.0,0.081237911
Craftsman,80.0,55.0,61.0,17.0,0.087040619
Eclectic,52.0,44.0,16.0,54.0,0.092843327
Euro Modern,22.0,25.0,73.0,78.0,0.069632495
Farmhouse,97.0,41.0,61.0,16.0,0.121856867
French Country,31.0,81.0,29.0,20.0,0.081237911
Hollywood Glam,10.0,80.0,10.0,75.0,0.081237911
Industrial,76.0,0.0,65.0,69.0,0.092843327
Japandi,49.0,69.0,83.0,67.0,0.075435203
Mediterranean,48.0,82.0,10.0,45.0,0.075435203
Mid-Century,54.0,25.0,58.0,78.0,0.116054159
Minimalist,59.0,23.0,100.0,81.0,0.104448743
Modern,24.0,53.0,54.0,100.0,0.127659574
Modern Farmhouse,73.0,64.0,45.0,63.0,0.110251451
Modern Traditional,15.0,40.0,51.0,43.0,0.087040619
Mountain West,84.0,75.0,50.0,84.0,0.069632495
New England,27.0,64.0,78.0,19.0,0.075435203
Organic Modern,54.0,87.0,44.0,83.0,0.081237911
Pacific Northwest,83.0,47.0,64.0,81.0,0.075435203
Rustic,76.0,100.0,64.0,24.0,0.098646035
Scandinavian,80.0,46.0,91.0,76.0,0.110251451
Shabby Chic,81.0,76.0,18.0,23.0,0.075435203
Shaker,53.0,79.0,95.0,22.0,0.069632495
Southwestern,61.0,30.0,47.0,36.0,0.081237911
Spanish Mission,57.0,82.0,71.0,4.0,0.069632495
Traditional,25.0,74.0,27.0,0.0,0.13926499
Transitional,24.0,53.0,49.0,51.0,0.127659574
Victorian,2.0,76.0,7.0,17.0,0.069632495
