style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,weight
Art Deco,19.0,24.0,24.0,45.0,0.075435203
Asian-Inspired,24.0,81.0,56.0,47.0,0.069632495
Bohemian,95.0,74.0,20.0,26.0,0.098646035
Coastal,79.0,82.0,65.0,49.0,0.092843327
Contemporary,24.0,54.0,55.0,77.0,0.116054159
Cottage,78.0,89.0,37.0,14.0,0.081237911
Craftsman,78.0,61.0,57.0,19.0,0.087040619
Eclectic,50.0,47.0,22.0,51.0,0.092843327
Euro Modern,23.0,31.0,69.0,76.0,0.069632495
Farmhouse,90.0,48.0,59.0,21.0,0.121856867
French Country,38.0,75.0,34.0,23.0,0.081237911
Hollywood Glam,10.0,80.0,11.0,75.0,0.081237911
Industrial,76.0,0.0,66.0,69.0,0.092843327
Japandi,50.0,67.0,76.0,63.0,0.075435203
Mediterranean,54.0,77.0,20.0,43.0,0.075435203
Mid-Century,53.0,32.0,59.0,75.0,0.116054159
Minimalist,60.0,24.0,100.0,80.0,0.104448743
Modern,24.0,51.0,54.0,100.0,0.127659574
Modern Farmhouse,72.0,64.0,47.0,56.0,0.110251451
Modern Traditional,27.0,54.0,51.0,51.0,0.087040619
Mountain West,80.0,74.0,53.0,79.0,0.069632495
New England,32.0,65.0,72.0,23.0,0.075435203
Organic Modern,56.0,79.0,47.0,78.0,0.081237911
Pacific Northwest,80.0,51.0,63.0,77.0,0.075435203
Rustic,76.0,100.0,61.0,25.0,0.098646035
Scandinavian,76.0,48.0,85.0,77.0,0.110251451
Shabby Chic,74.0,75.0,25.0,24.0,0.075435203
Shaker,58.0,76.0,84.0,26.0,0.069632495
Southwestern,58.0,43.0,50.0,37.0,0.081237911
Spanish Mission,59.0,80.0,63.0,11.0,0.069632495
Traditional,25.0,76.0,26.0,0.0,0.13926499
Transitional,23.0,43.0,48.0,45.0,0.127659574
Victorian,5.0,75.0,10.0,16.0,0.069632495
