style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,weight
Art Deco,7,0,13,94,0.075435203
Asian-Inspired,22,62,41,66,0.069632495
Bohemian,85,81,7,50,0.098646035
Coastal,78,59,50,41,0.092843327
Contemporary,38,25,78,97,0.116054159
Cottage,82,87,25,29,0.081237911
Craftsman,44,96,32,19,0.087040619
Eclectic,88,28,10,63,0.092843327
Euro Modern,19,12,54,88,0.069632495
Farmhouse,72,84,47,35,0.121856867
French Country,13,68,19,13,0.081237911
Hollywood Glam,4,22,4,54,0.081237911
Industrial,91,3,100,91,0.092843327
Japandi,47,43,85,60,0.075435203
Mediterranean,25,56,35,16,0.075435203
Mid-Century,57,9,82,78,0.116054159
Minimalist,54,18,94,82,0.104448743
Modern,41,15,91,100,0.127659574
Modern Farmhouse,69,53,69,75,0.110251451
Modern Traditional,29,6,66,72,0.087040619
Mountain West,66,93,63,38,0.069632495
New England,63,65,57,22,0.075435203
Organic Modern,60,40,75,85,0.081237911
Pacific Northwest,75,78,72,57,0.075435203
Rustic,94,100,60,44,0.098646035
Scandinavian,50,34,88,69,0.110251451
Shabby Chic,100,50,22,32,0.075435203
Shaker,32,90,97,7,0.069632495
Southwestern,97,75,38,25,0.081237911
Spanish Mission,16,71,16,4,0.069632495
Traditional,10,37,29,10,0.13926499
Transitional,35,31,44,47,0.127659574
Victorian,0,46,0,0,0.069632495
