style,Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,weight
Art Deco,19.0,0.0,22.0,79.0,0.075435203
Asian-Inspired,24.0,75.0,50.0,63.0,0.069632495
Bohemian,78.0,79.0,20.0,47.0,0.098646035
Coastal,76.0,74.0,54.0,43.0,0.092843327
Contemporary,50.0,48.0,65.0,80.0,0.116054159
Cottage,78.0,80.0,34.0,25.0,0.081237911
Craftsman,53.0,89.0,47.0,23.0,0.087040619
Eclectic,79.0,48.0,20.0,56.0,0.092843327
Euro Modern,24.0,32.0,55.0,77.0,0.069632495
Farmhouse,76.0,80.0,53.0,26.0,0.121856867
French Country,23.0,75.0,25.0,19.0,0.081237911
Hollywood Glam,10.0,47.0,11.0,49.0,0.081237911
Industrial,80.0,24.0,100.0,78.0,0.092843327
Japandi,54.0,61.0,69.0,51.0,0.075435203
Mediterranean,25.0,74.0,47.0,21.0,0.075435203
Mid-Century,58.0,31.0,66.0,76.0,0.116054159
Minimalist,58.0,43.0,84.0,77.0,0.104448743
Modern,50.0,43.0,76.0,100.0,0.127659574
Modern Farmhouse,74.0,67.0,61.0,75.0,0.110251451
Modern Traditional,27.0,24.0,59.0,75.0,0.087040619
Mountain West,72.0,82.0,59.0,37.0,0.069632495
New England,60.0,75.0,56.0,23.0,0.075435203
Organic Modern,59.0,54.0,63.0,77.0,0.081237911
Pacific Northwest,76.0,77.0,63.0,51.0,0.075435203
Rustic,80.0,100.0,57.0,45.0,0.098646035
Scandinavian,56.0,51.0,72.0,69.0,0.110251451
Shabby Chic,95.0,65.0,26.0,26.0,0.075435203
Shaker,32.0,81.0,85.0,14.0,0.069632495
Southwestern,90.0,76.0,48.0,24.0,0.081237911
Spanish Mission,24.0,76.0,24.0,11.0,0.069632495
Traditional,23.0,54.0,37.0,16.0,0.13926499
Transitional,38.0,51.0,51.0,45.0,0.127659574
Victorian,5.0,64.0,10.0,0.0,0.069632495
